Feature,Importance
num__Age,0.12311440052892769
num__Price,0.4738773452417815
num__Year,0.02636038164689022
num__Month,0.08297632825975193
num__Day,0.10771320857843614
cat__Gender_M,0.02525504005293771
cat__Payment method_Credit Card,0.020368129634887114
cat__Payment method_Mobile Payment,0.01547506665737421
cat__Shopping mall_MK,0.017127080586740853
cat__Shopping mall_ST,0.017128297141961246
cat__Shopping mall_TKO,0.01640405213256011
cat__Day of Week_Monday,0.01200439125087994
cat__Day of Week_Saturday,0.011539253501751253
cat__Day of Week_Sunday,0.01327832448533118
cat__Day of Week_Thursday,0.011929913364951028
cat__Day of Week_Tuesday,0.012303108660958528
cat__Day of Week_Wednesday,0.013145678273879526
