,0
num__Price,2.8173062979912433e-05
num__Year,0.3352558390322569
num__Month,-0.07179126744401572
num__Day,-0.0201082951186664
cat__Payment method_Credit Card,0.3454151183894673
cat__Payment method_Mobile Payment,-1.3235107242275332
cat__Shopping mall_MK,-0.19416651489433193
cat__Shopping mall_ST,-0.8133715565320893
cat__Shopping mall_TKO,-0.8314325700736319
cat__Day of Week_Monday,-0.15298928408252824
cat__Day of Week_Saturday,1.0891813078719912
cat__Day of Week_Sunday,-0.18261866162633622
cat__Day of Week_Thursday,-0.6559488835916664
cat__Day of Week_Tuesday,-0.7698245741884153
cat__Day of Week_Wednesday,-1.7742061457155511
